high,low,open,close,volume,time
10411.0,10411.0,10411.0,10411.0,10.411,11:00:59.999
10410.0,10410.0,10410.0,10410.0,1041.0,11:01:59.999
10415.0,10415.0,10415.0,10415.0,20.2051,11:05:59.999
10410.0,10410.0,10410.0,10410.0,9431.46,11:10:59.999
10405.0,10400.0,10405.0,10400.0,10504.05,11:14:59.999
9000.0,9000.0,9000.0,9000.0,90.0,11:18:59.999
10332.65,10332.65,10332.65,10332.65,168.3188685,11:19:59.999
10390.0,10390.0,10390.0,10390.0,3117.0,11:23:59.999
9500.0,9500.0,9500.0,9500.0,15.105,11:27:59.999
10388.0,10388.0,10388.0,10388.0,10.07636,11:32:59.999
10388.0,9601.0,9601.0,10388.0,317.02033,11:33:59.999
10388.0,10388.0,10388.0,10388.0,85.90876,11:34:59.999
10388.0,10388.0,10388.0,10388.0,17.34796,11:35:59.999
10388.0,10388.0,10388.0,10388.0,10.18024,11:38:59.999
10388.0,10388.0,10388.0,10388.0,113.7486,11:41:59.999
10392.0,10390.0,10390.0,10392.0,2094.41936,11:43:59.999
10415.0,10415.0,10415.0,10415.0,83.9449,11:50:59.999
10380.0,10224.0,10380.0,10224.0,74.0206,11:51:59.999
10420.0,10420.0,10420.0,10420.0,5841.6604,11:52:59.999
10420.0,10420.0,10420.0,10420.0,3959.6,11:53:59.999
10425.0,10420.0,10420.0,10425.0,1139.9896,11:54:59.999
10469.24,10469.24,10469.24,10469.24,10469.24,11:57:59.999
10479.24,10479.24,10479.24,10479.24,20958.48,11:58:59.999
10496.74,10496.74,10496.74,10496.74,10.49674,12:06:59.999
10490.0,10490.0,10490.0,10490.0,2098.0,12:07:59.999
10490.0,10490.0,10490.0,10490.0,80.4583,12:14:59.999
10490.0,10490.0,10490.0,10490.0,2606.765,12:17:59.999
10490.0,10477.75,10490.0,10477.75,1900.0398575,12:18:59.999
10490.0,10490.0,10490.0,10490.0,1217.2596,12:21:59.999
10490.0,10490.0,10490.0,10490.0,27.3789,12:22:59.999
10490.0,10490.0,10490.0,10490.0,99.9697,12:23:59.999
10490.0,10490.0,10490.0,10490.0,84.8641,12:28:59.999
10467.24,10467.24,10467.24,10467.24,419.4223068,12:30:59.999
10490.0,10490.0,10490.0,10490.0,104.9,12:31:59.999
10490.0,10480.24,10490.0,10490.0,188.7224,12:34:59.999
10490.0,10490.0,10490.0,10490.0,61.891,12:39:59.999
10490.0,10490.0,10490.0,10490.0,10.0704,12:41:59.999
10490.0,10489.5,10489.5,10490.0,110.0356,12:47:59.999
10490.0,10481.0,10490.0,10481.0,319.69254,12:50:59.999
10490.0,10481.0,10481.0,10481.0,61.32285,12:51:59.999
10481.75,10481.75,10481.75,10481.75,84.69254,12:53:59.999
10485.0,10485.0,10485.0,10485.0,10485.0,12:54:59.999
10483.75,10482.0,10483.75,10482.0,12578.9775,12:55:59.999
10490.0,10490.0,10490.0,10490.0,1049.0,12:56:59.999
10495.0,10490.0,10490.0,10490.0,27777.114,12:57:59.999
10500.0,10493.75,10493.75,10500.0,9341.184245,13:00:59.999
10500.0,10500.0,10500.0,10500.0,7605.57,13:01:59.999
10529.73,10529.73,10529.73,10529.73,242.18379,13:02:59.999
10600.0,10600.0,10600.0,10600.0,107.802,13:04:59.999
10600.0,10600.0,10600.0,10600.0,24857.0,13:05:59.999
10600.3,10600.3,10600.3,10600.3,1350.796229,13:06:59.999
10700.0,10696.35,10696.35,10700.0,41136.232,13:13:59.999
10699.0,10699.0,10699.0,10699.0,5349.5,13:14:59.999
10471.0,10050.0,10471.0,10050.0,803.70623,13:15:59.999
10777.0,10777.0,10777.0,10777.0,2455.53945,13:17:59.999
10811.0,10811.0,10811.0,10811.0,2702.75,13:19:59.999
10777.0,10760.0,10777.0,10760.0,637.90279,13:23:59.999
10300.0,10300.0,10300.0,10300.0,78.486,13:24:59.999
10765.0,10765.0,10765.0,10765.0,96.885,13:38:59.999
10770.0,10770.0,10770.0,10770.0,67.0971,13:39:59.999
10769.39,10769.39,10769.39,10769.39,10.0155327,13:40:59.999
11000.0,10899.0,10899.0,11000.0,27.23951,13:50:59.999
11000.0,11000.0,11000.0,11000.0,44.0,13:52:59.999
11000.0,11000.0,11000.0,11000.0,114.18,13:53:59.999
11000.0,11000.0,11000.0,11000.0,226.16,13:56:59.999
10340.0,10333.0,10340.0,10333.0,2244.30876,13:57:59.999
10500.0,10500.0,10500.0,10500.0,74.655,13:59:59.999
11100.0,11090.0,11090.0,11100.0,332.8794,14:00:59.999
10500.0,10302.0,10500.0,10302.0,22.4601,14:01:59.999
10749.38,10749.38,10749.38,10749.38,10.5343924,14:02:59.999
10765.0,10765.0,10765.0,10765.0,97.9615,14:04:59.999
10749.38,10749.38,10749.38,10749.38,167.0453652,14:08:59.999
10749.37,10749.37,10749.37,10749.37,1000.0138911,14:13:59.999
11555.0,10334.0,10749.38,10334.0,10920.9349334,14:22:59.999
10730.37,10728.37,10728.37,10730.37,5374.91537,14:23:59.999
10600.0,10600.0,10600.0,10600.0,10.6,14:31:59.999
10700.0,10600.0,10600.0,10700.0,9093.835,14:41:59.999
10700.0,10700.0,10700.0,10700.0,12395.629,14:44:59.999
10733.63,10733.63,10733.63,10733.63,82.5416147,14:51:59.999
10710.0,10710.0,10710.0,10710.0,320.229,14:53:59.999
10757.61,10757.61,10757.61,10757.61,21.51522,14:59:59.999
10750.0,10750.0,10750.0,10750.0,20990.5575,15:00:59.999
10763.0,10757.61,10757.61,10763.0,13668.807336,15:01:59.999
10763.0,10763.0,10763.0,10763.0,3551.79,15:02:59.999
10750.0,10710.0,10750.0,10710.0,26072.1835,15:04:59.999
10510.0,10510.0,10510.0,10510.0,100.0552,15:05:59.999
10400.0,10400.0,10400.0,10400.0,3016.0,15:06:59.999
10400.0,10400.0,10400.0,10400.0,8138.624,15:07:59.999
10400.0,10400.0,10400.0,10400.0,9717.136,15:08:59.999
10400.0,10400.0,10400.0,10400.0,68.328,15:10:59.999
10400.0,10400.0,10400.0,10400.0,156.0,15:11:59.999
10700.0,10400.0,10700.0,10400.0,309.9824,15:15:59.999
10420.0,10420.0,10420.0,10420.0,3127.563,15:18:59.999
10425.0,10425.0,10425.0,10425.0,521.25,15:23:59.999
10420.0,10420.0,10420.0,10420.0,2084.0,15:25:59.999
10420.0,10420.0,10420.0,10420.0,353.4464,15:28:59.999
10406.79,10406.79,10406.79,10406.79,1971.3582297,15:33:59.999
10417.78,10417.78,10417.78,10417.78,14.8974254,15:34:59.999
10417.78,10417.78,10417.78,10417.78,3757.3807126,15:38:59.999
10431.22,10417.78,10417.78,10431.22,2569.4974246,15:40:59.999
10417.78,10417.78,10417.78,10417.78,2538.1879192,15:41:59.999
10417.78,10417.78,10417.78,10417.78,507.9709528,15:42:59.999
10417.78,10417.78,10417.78,10417.78,843.84018,15:43:59.999
10419.21,10405.2,10419.21,10405.2,4314.5170358,15:44:59.999
10450.0,10404.0,10450.0,10404.0,115.14674,15:46:59.999
10400.0,10400.0,10400.0,10400.0,20800.0,15:47:59.999
10404.0,10404.0,10404.0,10404.0,400.0338,15:49:59.999
10405.2,10405.2,10405.2,10405.2,208.208052,15:50:59.999
10390.2,10390.2,10390.2,10390.2,129.8775,15:51:59.999
10390.2,10390.2,10390.2,10390.2,75.640656,15:54:59.999
10390.2,10360.18,10390.2,10360.18,723.2504472,15:55:59.999
10361.18,10350.0,10350.0,10361.18,751.7749106,15:56:59.999
10400.0,10400.0,10400.0,10400.0,1040.0,16:03:59.999
10425.0,10425.0,10425.0,10425.0,532.3005,16:08:59.999
10425.0,10425.0,10425.0,10425.0,205.26825,16:12:59.999
